DATE,TIME,HPCP
19950601,1:00,0
19950603,1:00,0.11
19950603,9:00,0.28
19950603,10:00,0.02
19950606,1:00,0.03
19950606,2:00,0.01
19950606,5:00,0.06
19950606,6:00,0.2
19950606,7:00,0.05
19950606,16:00,0.02
19950606,17:00,0.1
19950606,18:00,0.08
19950606,19:00,0.07
19950606,20:00,0.1
19950606,21:00,0.07
19950606,22:00,0.1
19950606,23:00,0.01
19950607,1:00,0.02
19950607,2:00,0.01
19950607,4:00,0.02
19950607,5:00,0.01
19950612,13:00,0.52
19950612,14:00,0.6
19950612,15:00,0.02
19950612,16:00,0.06
19950612,21:00,0.59
19950612,22:00,0.16
19950612,23:00,0.03
19950613,3:00,0.03
19950613,4:00,0.01
19950613,5:00,0.01
19950613,6:00,0.03
19950613,7:00,0.01
19950613,8:00,0.01
19950613,9:00,0.07
19950613,10:00,0.07
19950613,11:00,0.05
19950613,12:00,0.02
19950613,13:00,0.01
19950613,14:00,0.01
19950622,20:00,0.01
19950622,21:00,0.03
19950623,13:00,0.04
19950623,16:00,0.01
19950623,17:00,0.12
19950625,14:00,0.64
19950628,17:00,0.01
19950701,1:00,0
19950701,17:00,0.06
19950701,19:00,0.01
19950704,20:00,0.04
19950704,21:00,0.07
19950704,22:00,0.04
19950704,23:00,0.01
19950711,5:00,0.09
19950711,6:00,0.11
19950721,15:00,0.29
19950721,16:00,0.37
19950721,20:00,0.08
19950721,21:00,0.06
19950721,22:00,0.47
19950721,23:00,0.03
19950722,2:00,0.01
19950726,21:00,0.04
19950801,1:00,0
19950806,12:00,0.01
19950806,15:00,0.22
19950806,16:00,0.04
19950806,17:00,0.25
19950806,18:00,0.02
19950806,19:00,0.05
19950806,20:00,0.02
19950810,9:00,0.02
19950810,10:00,0.27
19950810,14:00,0.03
19950811,4:00,0.29
19950816,18:00,0.01
19950827,10:00,0.03
19950827,12:00,0.08
19950827,13:00,0.07
19950827,14:00,0.02
19950827,15:00,0.01
19950827,16:00,0.01
19950828,1:00,0.01
19950828,3:00,0.02
19950828,8:00,0.01
19950828,9:00,0.01
19950901,1:00,0
19950901,20:00,0.73
19950901,21:00,0.1
19950901,22:00,0.02
19950902,1:00,0.01
19950902,2:00,0.21
19950902,3:00,0.05
19950902,4:00,0.03
19950902,5:00,0.05
19950902,6:00,0.08
19950902,7:00,0.01
19950902,8:00,0.01
19950902,9:00,0.02
19950907,17:00,0.02
19950907,18:00,0.03
19950907,19:00,0.02
19950907,20:00,0.01
19950907,21:00,0.02
19950908,8:00,0.4
19950908,9:00,0.02
19950908,10:00,0.02
19950908,11:00,0.08
19950908,15:00,0.09
19950908,16:00,0.04
19950908,17:00,0.02
19950908,18:00,0.01
19950908,19:00,0.21
19950908,20:00,0.11
19950908,21:00,0.18
19950908,22:00,0.02
19950916,18:00,0.14
19950916,19:00,0.08
19950916,20:00,0.01
19950916,21:00,0.01
19950916,22:00,0.03
19950916,23:00,0.03
19950917,0:00,0.01
19950917,1:00,0.01
19950917,7:00,0.01
19950917,8:00,0.05
19950917,9:00,0.12
19950917,10:00,0.08
19950917,11:00,0.11
19950917,12:00,0.13
19950917,13:00,0.13
19950917,14:00,0.1
19950922,13:00,0.09
19950922,20:00,0.07
19950922,21:00,0.2
19950922,22:00,0.37
19950922,23:00,0.08
19950923,0:00,0.16
19950923,1:00,0.05
19950923,2:00,0.1
19950923,3:00,0.07
19950923,14:00,0.01
19950923,15:00,0.03
19950923,17:00,0.01
19950923,21:00,0.03
19950924,1:00,0.01
19950924,3:00,0.01
19950926,20:00,0.03
19950926,21:00,0.01
19950927,2:00,0.01
19950929,19:00,0.04
19951001,1:00,0
19951004,11:00,0.04
19951004,12:00,0.01
19951004,13:00,0.25
19951004,14:00,0.05
19951004,15:00,0.07
19951004,16:00,0.1
19951004,17:00,0.32
19951004,18:00,0.2
19951004,19:00,0.12
19951004,20:00,0.16
19951004,21:00,0.01
19951004,22:00,0.01
19951006,2:00,0.01
