STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950215 16:00,0.06, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950215 17:00,0.11, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950215 18:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950215 19:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950215 21:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 00:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 01:00,0.17, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 02:00,0.14, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 03:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 04:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 05:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 06:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 09:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 10:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 11:00,0.13, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 12:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 13:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 14:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 15:00,0.11, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 16:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 17:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 18:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 20:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 21:00,0.09, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 22:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950216 23:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 00:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 01:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 02:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 04:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 05:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 06:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 07:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 08:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 09:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950217 10:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950218 05:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950218 07:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950218 08:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950218 09:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950218 10:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950218 11:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950218 12:00,0.06, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950218 13:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950218 14:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 08:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 09:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 10:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 11:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 12:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 15:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 20:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 21:00,0.06, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 22:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950228 23:00,0.06, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 00:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 01:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 02:00,0.16, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 03:00,0.09, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 04:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 05:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 06:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 07:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 08:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 09:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 10:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 11:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 12:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 13:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 15:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950301 17:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950303 22:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950303 23:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950304 00:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950304 01:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950304 04:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950304 10:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950306 01:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950306 03:00,0.06, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950306 04:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950306 05:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950306 10:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950306 11:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950306 12:00,0.07, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950306 13:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950306 14:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 09:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 10:00,0.21, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 11:00,0.09, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 14:00,0.12, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 15:00,0.12, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 18:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 20:00,0.17, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 21:00,0.21, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 22:00,0.23, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950308 23:00,0.20, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950309 00:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950309 01:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950321 06:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950321 07:00,0.22, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950321 08:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950323 08:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950323 09:00,0.10, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950323 10:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950323 11:00,0.05, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950328 01:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950401 01:00,0.00,g, 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950412 21:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950412 22:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950412 23:00,0.13, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950413 00:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950413 01:00,0.07, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950413 02:00,0.17, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950413 03:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950413 05:00,0.18, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950413 06:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950417 17:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950417 18:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950417 19:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950417 20:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950423 20:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950423 21:00,0.07, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950423 22:00,0.13, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950423 23:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 00:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 03:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 04:00,0.08, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 05:00,0.38, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 06:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 11:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 12:00,0.12, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 13:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 16:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 18:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950424 19:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950430 10:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950430 15:00,0.28, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950430 18:00,0.42, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950430 19:00,0.28, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950430 20:00,0.04, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950501 01:00,0.00,g, 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 00:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 01:00,0.11, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 02:00,0.16, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 03:00,0.31, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 04:00,0.22, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 05:00,0.06, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 06:00,0.15, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 07:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 08:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 16:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 17:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 19:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950502 21:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950505 00:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950509 21:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950509 23:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950510 03:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950510 04:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950510 07:00,0.23, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950510 08:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950511 14:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950512 03:00,0.09, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950512 04:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950512 05:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950514 12:00,0.13, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950514 13:00,0.25, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950514 14:00,0.11, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950519 09:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950519 10:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950519 12:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950519 17:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950519 18:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950519 19:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950525 23:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950526 00:00,0.10, , 
